cohort,covariate_model,numeric,categorical,n_numeric,n_categorical,auc,pr_auc,brier,delta_vs_full,variable
GSE174188_CD4,single_cells_per_donor,cells_per_donor,,1,0,0.6891133557800225,0.7745669792766938,0.22459607435520887,-0.15912208504801084,cells_per_donor
GSE174188_CD4,single_age_from_development_stage,age_from_development_stage,,1,0,0.6394812320738248,0.692074269523755,0.2408894193528522,-0.20875420875420858,age_from_development_stage
GSE174188_CD4,single_mean_pct_mito,mean_pct_mito,,1,0,0.614041651078688,0.7534915315552065,0.24449136796361576,-0.23419378974934535,mean_pct_mito
GSE174188_CD4,single_n_suspensions,n_suspensions,,1,0,0.56821299413892,0.7116662793335061,0.23126126553271006,-0.28002244668911336,n_suspensions
GSE174188_CD4,single_mean_umi_per_cell,mean_umi_per_cell,,1,0,0.5314253647586981,0.6153445712876171,0.2496774719256977,-0.3168100760693353,mean_umi_per_cell
GSE174188_CD4,single_sex,,sex,0,1,0.5203578999875296,0.6399416252370123,0.2458187434660221,-0.3278775408405038,sex
GSE174188_CD4,single_n_samples,n_samples,,1,0,0.520264372116224,0.6569316168980448,0.24312075385372856,-0.32797106871180937,n_samples
GSE174188_CD4,single_n_libraries,n_libraries,,1,0,0.4814191295672777,0.6012042359296472,0.24741494415901022,-0.36681631126075565,n_libraries
GSE174188_CD4,single_processing_cohort,processing_cohort,,1,0,0.4594089038533483,0.5816974054501307,0.25058330175171634,-0.38882653697468506,processing_cohort
GSE174188_CD4,single_mean_genes_per_cell,mean_genes_per_cell,,1,0,0.44643970569896496,0.5548912155531363,0.2519154732068824,-0.4017957351290684,mean_genes_per_cell
