field,value
Series_title,Multiplexed scRNA-seq reveals the cellular and genetic correlates of systemic lupus erythematosus
Series_geo_accession,GSE174188
Series_status,Public on Dec 01 2021
Series_submission_date,May 10 2021
Series_last_update_date,Jan 31 2025
Series_pubmed_id,35389781
Series_pubmed_id,36171194
Series_summary,"Systemic lupus erythematosus (SLE) is a heterogeneous autoimmune disease. Knowledge of circulating immune cell types and cell states associated with SLE remains incomplete. We profiled over 1.2 million PBMCs (162 cases, 99 controls) with multiplexed single-cell RNA-seq (mux-seq). Cases exhibited prominent expression of type-1 interferon-stimulated genes (ISG) in monocytes, reduction of naïve CD4+ T cells that correlated with monocyte ISG expression, and expansion of repertoire-restricted cytotoxic GZMH+ CD8+ T cells. Cell-type-specific expression features accurately predicted case-control status and stratified patients into two molecular subtypes. We integrated dense genotyping data, mapping cell-type-specific cis-eQTLs and linked known and novel SLE-associated variants to cell-type-specific gene expression. These results demonstrate mux-seq as a systematic approach to characterize cellular composition, identify transcriptional signatures, and annotate genetic variants associated with SLE."
Series_overall_design,Examination of 1.2 million PBMCs in 162 SLE donors and 99 healthy individuals to find cellular and genetic correlates of SLE.
Series_overall_design,
Series_overall_design,**The raw data and processed data will be made available in dbGaP (https://www.ncbi.nlm.nih.gov/gap/) through controlled access due to patient privacy concerns**
Series_type,Expression profiling by high throughput sequencing
Series_contributor,"Richard,K,Perez"
Series_contributor,"M,G,Gordon"
Series_contributor,"Meena,,Subramaniam"
Series_contributor,"Min,C,Kim"
Series_contributor,"George,,Hartoularos"
Series_contributor,"Sasha,,Targ"
Series_contributor,"Yang,,Sun"
Series_contributor,"Anton,,Ogorodnikov"
Series_contributor,"Raymund,,Bueno"
Series_contributor,"Andrew,,Lu"
Series_contributor,"Mike,,Thompson"
Series_contributor,"Nadav,,Rappoport"
Series_contributor,"Andrew,,Dahl"
Series_contributor,"Cristina,M,Lanata"
Series_contributor,"Mehrdad,,Matloubian"
Series_contributor,"Lenka,,Maliskova"
Series_contributor,"Serena,S,Kwek"
Series_contributor,"Tony,,Li"
Series_contributor,"Michal,,Slyper"
Series_contributor,"Orit,,Rozenblatt-Rosen"
Series_contributor,"Lawrence,,Fong"
Series_contributor,"Maria,,Dall’era"
Series_contributor,"Brunilda,,Balliu"
Series_contributor,"Aviv,,Regev"
Series_contributor,"Jinoos,,Yazdany"
Series_contributor,"Lindsey,,Criswell"
Series_contributor,"Noah,,Zaitlen"
Series_contributor,"Chun,J,Ye"
Series_sample_id,GSM5288728
Series_sample_id,GSM5288729
Series_sample_id,GSM5288730
Series_sample_id,GSM5288731
Series_sample_id,GSM5288732
Series_sample_id,GSM5288733
Series_sample_id,GSM5288734
Series_sample_id,GSM5288735
Series_sample_id,GSM5288736
Series_sample_id,GSM5288737
Series_sample_id,GSM5288738
Series_sample_id,GSM5288739
Series_sample_id,GSM5288740
Series_sample_id,GSM5288741
Series_sample_id,GSM5288742
Series_sample_id,GSM5288743
Series_sample_id,GSM5288744
Series_sample_id,GSM5288745
Series_sample_id,GSM5288746
Series_sample_id,GSM5288747
Series_sample_id,GSM5288748
Series_sample_id,GSM5288749
Series_sample_id,GSM5288750
Series_sample_id,GSM5288751
Series_sample_id,GSM5288752
Series_sample_id,GSM5288753
Series_sample_id,GSM5288754
Series_sample_id,GSM5288755
Series_sample_id,GSM5288756
Series_sample_id,GSM5288757
Series_sample_id,GSM5288758
Series_sample_id,GSM5288759
Series_sample_id,GSM5288760
Series_sample_id,GSM5288761
Series_sample_id,GSM5288762
Series_sample_id,GSM5288763
Series_sample_id,GSM5288764
Series_sample_id,GSM5288765
Series_sample_id,GSM5288766
Series_sample_id,GSM5288767
Series_sample_id,GSM5288768
Series_sample_id,GSM5288769
Series_sample_id,GSM5288770
Series_sample_id,GSM5288771
Series_sample_id,GSM5288772
Series_sample_id,GSM5288773
Series_sample_id,GSM5288774
Series_sample_id,GSM5288775
Series_sample_id,GSM5288776
Series_sample_id,GSM5288777
Series_sample_id,GSM5288778
Series_sample_id,GSM5288779
Series_sample_id,GSM5288780
Series_sample_id,GSM5288781
Series_sample_id,GSM5288782
Series_sample_id,GSM5288783
Series_sample_id,GSM5288784
Series_sample_id,GSM5288785
Series_sample_id,GSM5288786
Series_sample_id,GSM5288787
Series_sample_id,GSM5288788
Series_sample_id,GSM5288789
Series_sample_id,GSM5288790
Series_sample_id,GSM5288791
Series_sample_id,GSM5288792
Series_sample_id,GSM5288793
Series_sample_id,GSM5288794
Series_sample_id,GSM5288795
Series_sample_id,GSM5288796
Series_sample_id,GSM5288797
Series_sample_id,GSM5288798
Series_sample_id,GSM5288799
Series_sample_id,GSM5288800
Series_sample_id,GSM5288801
Series_sample_id,GSM5288802
Series_sample_id,GSM5288803
Series_sample_id,GSM5288804
Series_sample_id,GSM5288805
Series_sample_id,GSM5288806
Series_sample_id,GSM5288807
