geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,tissue,cell_type,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,biosample,sra_experiment,supplementary_file_1,supplementary_file_2,supplementary_file_3,series_id,data_row_count
GSM8708826,"sorted CD4+ T cells from healthy donor, HD1",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971675,SRX29682677,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708826/suppl/GSM8708826_HD1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708826/suppl/GSM8708826_HD1_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708826/suppl/GSM8708826_HD1_matrix.mtx.gz,GSE285773,0
GSM8708827,"sorted CD4+ T cells from healthy donor, HD2",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971674,SRX29682678,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708827/suppl/GSM8708827_HD2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708827/suppl/GSM8708827_HD2_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708827/suppl/GSM8708827_HD2_matrix.mtx.gz,GSE285773,0
GSM8708828,"sorted CD4+ T cells from healthy donor, HD3",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971673,SRX29682679,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708828/suppl/GSM8708828_HD3_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708828/suppl/GSM8708828_HD3_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708828/suppl/GSM8708828_HD3_matrix.mtx.gz,GSE285773,0
GSM8708829,"sorted CD4+ T cells from healthy donor, HD4",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971672,SRX29682680,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708829/suppl/GSM8708829_HD4_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708829/suppl/GSM8708829_HD4_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708829/suppl/GSM8708829_HD4_matrix.mtx.gz,GSE285773,0
GSM8708830,"sorted CD4+ T cells from healthy donor, HD5",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971671,SRX29682681,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708830/suppl/GSM8708830_HD5_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708830/suppl/GSM8708830_HD5_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708830/suppl/GSM8708830_HD5_matrix.mtx.gz,GSE285773,0
GSM8708831,"sorted CD4+ T cells from healthy donor, HD6",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971670,SRX29682682,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708831/suppl/GSM8708831_HD6_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708831/suppl/GSM8708831_HD6_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708831/suppl/GSM8708831_HD6_matrix.mtx.gz,GSE285773,0
GSM8708832,"sorted CD4+ T cells from healthy donor, HD7",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971669,SRX29682683,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708832/suppl/GSM8708832_HD7_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708832/suppl/GSM8708832_HD7_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708832/suppl/GSM8708832_HD7_matrix.mtx.gz,GSE285773,0
GSM8708833,"sorted CD4+ T cells from healthy donor, HD8",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971668,SRX29682684,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708833/suppl/GSM8708833_HD8_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708833/suppl/GSM8708833_HD8_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708833/suppl/GSM8708833_HD8_matrix.mtx.gz,GSE285773,0
GSM8708834,"sorted CD4+ T cells from healthy donor, HD9",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971667,SRX29682685,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708834/suppl/GSM8708834_HD9_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708834/suppl/GSM8708834_HD9_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708834/suppl/GSM8708834_HD9_matrix.mtx.gz,GSE285773,0
GSM8708835,"sorted CD4+ T cells from healthy donor, HD10",Public on Sep 05 2025,Jan 03 2025,Sep 05 2025,SRA,1,PBMC,Homo sapiens,9606,PBMC,CD4+ T cells,total RNA,"50,000 cells were loaded for capture on 10x Chromium system using the V3 single cell reagent kit for 3 prime RNA sequencing (10x Thechnologies). After capture and lysis, cDNAs from the cells were amplified as per 10x Chromium’s recommendations (10x Thechnologies. The amplified cDNAs were loaded on a single lane of NovaSeq 6000 for a depth of 50,000 reads per cell.",10x Genomics,"Supplementary files format and content: Tab-separated values (barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz)",GPL24676,"Simone,,Caielli",sic2011@med.cornell.edu,Department of Pediatrics,Weill Cornell Medicine,413 E 69th Street,New York,NY,10065,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,SAMN49971666,SRX29682686,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708835/suppl/GSM8708835_HD10_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708835/suppl/GSM8708835_HD10_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8708nnn/GSM8708835/suppl/GSM8708835_HD10_matrix.mtx.gz,GSE285773,0
